PublicID,Date,Latitude,Longitude,strike1,dip1,rake1,strike2,dip2,rake2,ML,Mw,Mo,CD,NS,DC,Mxx,Mxy,Mxz,Myy,Myz,Mzz,VR,Tva,Tpl,Taz,Nva,Npl,Naz,Pva,Ppl,Paz,Method
2016p118944,20160214001300,-43.4973,172.7546,56,69,152,157,64,24,5.7,5.8,5.06E+024,4,18,72,26900.94,24368.73,18633.65,-46868.59,1807.45,19967.65,85,-54378.49,34,15,46837.79,55,202,7540.7,3,107,1
2016p659242,20160831220400,-37.0774,179.2152,211,89,-86,314,4,-167,5.7,5.8,5.89E+024,15,5,89,-1320.63,3251.14,30623.1,4772.82,-50046.11,-3452.19,81,-60451.5,44,297,3200.02,4,30,57251.47,46,125,1
2016p661375,20160901170100,-36.9344,179.1002,35,83,96,174,9,49,5.7,5.6,3.29E+024,17,6,97,858.98,2709.95,18348.07,-8342.11,-26039.41,7483.13,58,32722.8,52,312,435.12,6,214,-33157.92,38,120,1
2016p661400,20160901171400,-36.9059,179.2123,15,85,90,196,5,91,6.2,6,1.28E+025,13,7,80,10345.58,11202.89,32965.82,-27580.03,-121844.65,17234.45,87,-135178.97,50,285,13407.3,0,15,121771.67,40,105,1
2016p661442,20160901173600,-37.0887,179.1521,59,80,70,304,22,153,5.7,5.5,2.29E+024,7,4,99,-12026.47,-356.96,16776.24,4846.12,-11483.22,7180.35,65,22817.71,51,307,-22932.19,19,62,114.48,32,166,1
2016p661723,20160901200600,-37.1385,179.6621,206,83,-84,342,9,-134,6,5.8,6.82E+024,8,8,63,7061.42,6520.9,32034.08,15300.29,-57769.26,-22361.72,78,-75234.27,38,290,14104.39,6,25,61129.88,51,123,1
2016p665372,20160903043000,-37.3635,179.1143,216,85,-91,51,5,-76,5.5,5.5,2.52E+024,8,4,45,5841.89,3426.86,14448.03,2571.44,-20127.79,-8413.33,80,-29159.08,40,307,7969.7,1,216,21189.38,50,125,1
2016p666385,20160903133000,-37.3898,179.0249,196,83,-85,338,8,-127,5.5,5.3,1.33E+024,7,3,56,2555.42,1447.48,4080.31,2078.99,-12273.96,-4634.41,84,-14975.16,38,282,3320.14,5,15,11655.03,51,112,1
2016p669820,20160904200000,-37.4139,178.957,42,86,78,294,13,161,5.1,5.1,5.2E+023,7,7,87,-1477.86,204.58,3243.77,614.7,-3864.6,863.16,65,-5022.99,48,300,-357.25,12,43,5380.24,40,143,1
2016p671995,20160905151900,-36.9986,179.0607,10,82,86,218,9,117,5.7,5.8,6E+024,14,8,64,-13305.79,3713.42,8435.15,-9303.79,-56840.27,22609.58,78,-53986.04,53,276,-11959.36,4,10,65945.39,37,104,1
2016p672188,20160905170100,-36.9971,179.0791,19,87,89,212,3,103,5.3,5.3,1.14E+024,16,8,85,-951.83,112.96,3629.9,-770.58,-10724.28,1722.41,76,11828.23,48,289,-864.17,0,19,-10964.06,42,110,1
2016p719587,20160923055600,-37.4163,179.0584,215,85,-82,338,9,-147,5.1,5.4,1.37E+024,10,4,54,846.73,1960.53,8462.67,3148.66,-10458.85,-3995.4,80,-15514.99,40,298,3561.17,8,34,11953.82,49,133,1
2016p761676,20161008194100,-37.0775,178.8942,20,87,84,265,7,154,5.8,5.8,6.54E+024,10,9,84,-9689.22,5039.8,21058.83,348.01,-61167,9341.2,78,-62744.03,48,284,-5347.12,6,20,68091.15,42,116,1
2016p858055,20161113113200,-42.2811,173.675,210,31,113,5,62,77,6.2,6.3,4.14E+025,18,6,62,63047.33,130151.4,-1707.06,-361991.82,-218844.05,298944.49,70,-457587.3,71,248,87422.35,11,11,370164.95,16,104,1
